id,propertiy,default,activated in,value in,category,zero-index-base_id
1,DUK_USE_ALLOW_UNDEFINED_BEHAVIOR,false,low_memory.yaml,true,Platform and portability options,0
2,DUK_USE_FATAL_MAXLEN,128,low_memory.yaml,64,Platform and portability options,1
3,DUK_USE_EXEC_PREFER_SIZE,false,low_memory.yaml,true,low Memory management options,2
4,DUK_USE_LEXER_SLIDING_WINDOW,true,low_memory.yaml,false,low Memory management options,3
5,DUK_USE_LIGHTFUNC_BUILTINS,false,low_memory.yaml,true,low Memory management options,4
6,DUK_USE_PREFER_SIZE,false,low_memory.yaml,true,low Memory management options,5
7,DUK_USE_ROM_STRINGS,false,low_memory.yaml,true,low Memory management options,6
8,DUK_USE_ROM_OBJECTS,false,low_memory.yaml,true,low Memory management options,7
9,DUK_USE_ROM_GLOBAL_INHERIT,false,low_memory.yaml,true,low Memory management options,8
10,DUK_USE_HSTRING_ARRIDX,true,low_memory.yaml,false,low Memory management options,9
11,DUK_USE_REFERENCE_COUNTING,true,comented out in low_memory.yaml,false,Garbage collection options,10
12,DUK_USE_PARANOID_ERRORS,false,low_memory.yaml,true,ECMAScript Edition 5 (ES5) options,11
13,DUK_USE_FUNC_NAME_PROPERTY,true,comented out in low_memory.yaml,false,ECMAScript Edition 5 (ES5) options,12
14,DUK_USE_DOUBLE_LINKED_HEAP,true,comented out in low_memory.yaml,false,ECMAScript Edition 5 (ES5) options,13
15,DUK_USE_ARRAY_BUILTIN,true,low_memory_strip.yaml,false,ECMAScript Edition 5 (ES5) options,14
16,DUK_USE_AUGMENT_ERROR_CREATE,true,low_memory.yaml,false,ECMAScript Edition 5 (ES5) options,15
17,DUK_USE_AUGMENT_ERROR_THROW,true,low_memory.yaml,false,ECMAScript Edition 5 (ES5) options,16
18,DUK_USE_BOOLEAN_BUILTIN,true,low_memory_strip.yaml,false,ECMAScript Edition 5 (ES5) options,17
19,DUK_USE_DATE_BUILTIN,true,low_memory_strip.yaml,false,ECMAScript Edition 5 (ES5) options,18
