Script,RequiredFeaturesWithDefaulValue,RequiredFeaturesWithDefaulValueOriginal
3d-cube,15; 29; 34;31,7; 8; 14; 15; 27; 29; 31; 32; 34
3d-morph,15; 29,7; 8; 14; 15; 27; 29; 32
3d-raytrace,15; 19; 29;31,7; 8; 14; 15; 19; 27; 29; 31; 32
access-binary-trees,29,7; 8; 14; 27; 29; 32
access-fannkuch,15;31;34,7; 8; 14; 15; 27; 32
access-nbody,15; 29,7; 8; 14; 15; 27; 29; 32
access-nsieve,15,7; 8; 14; 15; 27; 32
bitops-3bit-bits-in-byte,,7; 8; 14; 27; 32
bitops-bits-in-byte,,7; 8; 14; 27; 32
bitops-bitwise-and,,7; 8; 14; 27; 32
bitops-nsieve-bits,15,7; 8; 14; 15; 27; 32
controlflow-recursive,,7; 8; 14; 27; 32
crypto-aes,15; 19; 29; 34; 32,7; 8; 14; 15; 19; 27; 29; 32; 34
crypto-md5,15; 34;32,7; 8; 14; 15; 27; 32; 34
crypto-sha1,15; 34;32,7; 8; 14; 15; 27; 32; 34
date-format-tofte,15; 19; 34;24;31;34;32;7;8;9;10,7; 8; 14; 15; 19; 24; 27; 32; 34
date-format-xparb,19; 34;24;31;34;32;7;8;9;10,7; 8; 14; 19; 24; 27; 32; 34
math-cordic,19,7; 8; 14; 19; 27; 32
math-partial-sums,29,7; 8; 14; 27; 29; 32
math-spectral-norm,29,7; 8; 14; 27; 29; 32
regexp-dna,34,7; 8; 14; 27; 32; 34
string-base64,29; 34;32,7; 8; 14; 27; 29; 32; 34
string-fasta,15; 34;32,7; 8; 14; 15; 27; 32; 34
string-tagcloud,15; 18; 19; 22; 29; 30; 34; 64,7; 8; 14; 15; 18; 19; 22; 24; 27; 29; 30; 31; 32; 34; 64
string-unpack-code,34; 64,7; 8; 14; 24; 27; 32; 34; 64
string-validate-input,15; 29; 34;32,7; 8; 14; 15; 27; 29; 32; 34
date-format-tofte-plus,15;19;24;29;30;31;34;32;7;8;9;10;64;27;17,
